"qiitaID","run_prefix"
"13722.58cfa831e4b0c9d6adf6c6c2","TCGA-CN-4740-01A-01D-1431_120412_SN208_0283_AD0V1GACXX_s_5_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c749","TCGA-CV-7407-10A-01D-2317_120710_SN590_0166_AC0VNFACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c75a","TCGA-D6-6515-01A-21D-1868_120530_SN1222_0110_AC0VLAACXX_s_7_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c808","TCGA-CV-7095-10A-01D-2317_120710_SN590_0166_AC0VNFACXX_s_5_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c87c","TCGA-CV-7414-01A-11D-2317_120730_SN1222_0140_AC11GKACXX_s_8_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c813","TCGA-CV-7238-10A-01D-2317_120710_SN590_0166_AC0VNFACXX_s_6_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c8b0","TCGA-CV-7432-01A-11D-2317_120730_SN1222_0141_BC115GACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c946","TCGA-CV-7432-10A-01D-2317_120710_SN590_0165_BC0VU7ACXX_s_2_rg.sorted.filtered."
"13722.58cfa832e4b0c9d6adf6d25a","TCGA-IQ-7632-01A-11D-2317_120730_SN1222_0141_BC115GACXX_s_2_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c20b","TCGA-BA-4078-01A-01D-1431_120423_SN590_0154_AC0JBHACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c605","TCGA-CQ-5329-01A-01D-1681_120425_SN1222_0100_BD0T1VACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c598","TCGA-CN-4735-10A-01D-1431_120412_SN208_0284_BD0T51ACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c646","TCGA-CQ-5327-01A-01D-1681_120425_SN1222_0100_BD0T1VACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c7ca","TCGA-CX-7085-10A-01D-2317_120730_SN1222_0140_AC11GKACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c726","TCGA-D6-6825-01A-21D-1911_120518_SN1120_0143_BC0VN6ACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c882","TCGA-CV-6939-11A-01D-1911_120526_SN208_0303_BD12PWACXX_s_3_rg.sorted.filtered."
"13722.58cfa82ee4b0c9d6adf6a7be","G23076.TCGA_CV_5443_11A_01D_2268_08.1.filtered."
"13722.58cfa82ee4b0c9d6adf6a7cf","G25249.TCGA-CR-7391-01A-11D-2334-08.1.filtered."
