"","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"82","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",136,1952,"Prostate Adenocarcinoma","OtherCancerType",0.974145299145299,0.634866464043299
"83","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",60,2028,"Rectum Adenocarcinoma","OtherCancerType",0.968384502923977,0.430433234921669
"84","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",40,2048,"Sarcoma","OtherCancerType",0.998914223669924,0.949722892924893
"85","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.930482409943122,0.610686705819611
"86","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",160,1928,"Stomach Adenocarcinoma","OtherCancerType",0.962982987312572,0.81483586692174
"87","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",150,1938,"Thyroid Carcinoma","OtherCancerType",0.95027729967489,0.643324997794414
"88","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.959578142799397,0.785334009809767
"89","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",51,2037,"Uveal Melanoma","OtherCancerType",0.971358428805237,0.775201097110004
"90","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",140,1948,"Bladder Urothelial Carcinoma","OtherCancerType",0.970482713633399,0.767374401560683
"91","Brain Lower Grade Glioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",91,1997,"Brain Lower Grade Glioma","OtherCancerType",0.930810610276387,0.378790903796327
"92","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",114,1974,"Breast Invasive Carcinoma","OtherCancerType",0.995528616852146,0.889696416793267
"93","Breast Invasive Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",113,1082,"SolidTissueNormal","PrimaryTumor",0.991769547325103,0.999025416539523
"94","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",131,1957,"Colon Adenocarcinoma","OtherCancerType",0.969204560345957,0.727498035184926
"95","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",69,2019,"Esophageal Carcinoma","OtherCancerType",0.992066115702479,0.853085106277843
"96","Colon Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",41,278,"SolidTissueNormal","PrimaryTumor",0.990963855421687,0.998700922799623
"97","Head and Neck Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",167,1921,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.962222222222222,0.847240252648261
"98","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",50,2038,"Kidney Chromophobe","OtherCancerType",0.988652482269504,0.669828767511887
"99","Kidney Chromophobe","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",25,66,"SolidTissueNormal","PrimaryTumor",1,1
"100","Kidney Renal Clear Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",72,972,"SolidTissueNormal","PrimaryTumor",0.952380952380952,0.993174061433447
"101","Kidney Renal Papillary Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",32,284,"SolidTissueNormal","PrimaryTumor",0.944444444444444,0.988372093023256
"102","Liver Hepatocellular Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",50,362,"SolidTissueNormal","PrimaryTumor",0.9,0.972972972972973
"103","Lung Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",59,495,"SolidTissueNormal","PrimaryTumor",0.999602543720191,0.999954499782558
"104","Lung Squamous Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",49,489,"SolidTissueNormal","PrimaryTumor",1,1
"105","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",67,2021,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.959405940594059,0.672878535654392
